Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
puy chabot,77,77,40,23,0.00,https://www.cougnaud-construction.com/un-restaurant-pour-le-college-puy-chabot/,0,0,0.00,0,572000,"[15,15,15,42,7,19,15,11,7,19,7,7]",2023-06-02,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches",navigational,Organic
restaurant creche,72,72,50,23,0.00,https://www.cougnaud-construction.com/realisations/restaurant-scolaire-ancenis/,0,0,0.00,0.06,4060000,"[11,11,11,11,64,11,11,11,64,11,52,41]",2023-06-10,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
ch de sens,24,24,1300,31,0.00,https://www.cougnaud-construction.com/realisations/locaux-medicaux-sens/,0,0,0.00,0,76900000,"[68,68,52,68,100,84,100,84,11,31,37,46]",2023-06-20,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, FAQ, Indented, Related searches",navigational,Organic
mediathèque levallois,24,24,480,30,0.00,https://www.cougnaud-construction.com/realisations/mediatheque-covivio/,0,0,0.00,0,2580,"[0,0,0,0,0,0,24,65,0,0,0,100]",2023-06-16,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches","commercial, navigational",Organic
fc paris centre,11,11,50,34,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,0,0,0.00,0,58300000,"[2,2,2,11,11,11,2,2,11,5,2,11]",2023-06-04,"Knowledge panel, Sitelinks, Image, People also ask, Indented, Related searches",navigational,Organic
nantes gare maritime,21,21,90,16,0.00,https://www.cougnaud-construction.com/realisations/point-d-accueil-finist-merc/,0,0,0.00,0,4340000,"[52,100,100,66,42,33,23,33,23,9,9,9]",2023-06-16,"Knowledge panel, Image pack, Reviews, Image, People also ask, Related searches",informational,Organic
centre de formation football,96,96,2900,37,0.53,https://www.cougnaud-construction.com/realisations/centre-de-formation/,0,0,0.00,0.19,47000000,"[100,80,52,52,66,80,52,100,100,52,66,80]",2023-06-22,"Knowledge panel, Local pack, People also ask, Find results on, Indented, Related searches",commercial,Organic
mini pousses,53,53,480,14,0.00,https://www.cougnaud-construction.com/realisations/maison-bleue-saint-cyr/,0,0,0.00,0.09,1040000,"[66,54,100,66,81,81,54,81,81,81,66,81]",2023-06-19,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
chantier de l'atlantique saint nazaire,63,63,320,37,0.00,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-stx/,0,0,0.00,0,100,"[1,3,0,0,100,35,54,100,100,81,81,100]",2023-06-18,"Local pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches","commercial, navigational",Organic
centre d entrainement,60,60,210,30,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,0,0,0.00,0.01,12300000,"[53,43,53,53,35,53,53,66,100,35,35,35]",2023-06-12,"Local pack, Image pack, Image, Video Carousel, People also ask, Find results on, Indented, Related searches",commercial,Organic
pole enfance saujon,96,96,50,6,0.00,https://www.cougnaud-construction.com/realisations/pole-enfance-dupuy/,0,0,0.00,0,97,"[6,6,6,6,34,34,6,6,43,6,6,6]",2023-06-23,"Knowledge panel, Image pack, Sitelinks, Reviews, Indented, Related searches",informational,Organic
atex cstb,79,79,170,19,0.00,https://www.cougnaud-construction.com/cougnaud-avis-technique-n3-3-15-810_v1/,0,0,0.00,0,44000,"[80,80,80,52,80,100,100,66,100,100,100,80]",2023-06-21,"People also ask, Related searches","navigational, transactional",Organic
algeco bureau,66,66,390,18,1.92,https://www.cougnaud-construction.com/,0,0,0.00,1,90100,"[66,66,66,54,81,81,66,66,100,81,100,81]",2023-06-17,"Image pack, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
mazurelle,63,63,720,26,0.00,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-ch-georges-mazurelle/,0,0,0.00,0,89,"[81,67,81,54,100,100,100,81,100,67,81,67]",2023-06-14,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Twitter carousel, Indented, Related searches",navigational,Organic
cabinet médical le trait,75,75,70,23,0.00,https://www.cougnaud-construction.com/construction-de-batiments-medicaux/,0,0,0.00,0,1230000,"[21,21,0,14,78,64,64,64,78,64,50,50]",2023-06-19,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
poujoulat saint symphorien,21,21,110,23,0.00,https://www.cougnaud-construction.com/realisations/cheminees-poujoulat/,0,0,0.00,0.02,69,"[80,66,52,66,66,66,66,52,66,19,33,23]",2023-06-16,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches","navigational, transactional",Organic
centre d'entraînement du psg,37,37,260,44,0.00,https://www.cougnaud-construction.com/realisations/vestiaires-sportifs-psg/,0,0,0.00,0,1040000,"[15,29,29,36,29,44,29,54,100,23,15,12]",2023-06-11,"Instant answer, Knowledge panel, Image pack, Sitelinks, Image, People also ask, Related searches","informational, navigational",Organic
préfabriqués occasion,61,61,40,8,0.70,https://www.cougnaud-construction.com/,0,0,0.00,0.99,346000,"[36,36,45,45,100,45,45,36,36,27,18,18]",2023-06-17,"Local pack, Reviews, Image, Find results on, Related searches",commercial,Organic
ch georges mazurelle,41,41,70,31,0.00,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-ch-georges-mazurelle/,0,0,0.00,0,70,"[9,9,9,52,52,52,52,33,52,9,66,9]",2023-06-19,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Twitter carousel, Indented, Related searches",navigational,Organic
centre entraînement psg,81,81,90,33,0.00,https://www.cougnaud-construction.com/realisations/vestiaires-sportifs-psg/,0,0,0.00,0,1180000,"[1,3,1,1,2,2,1,0,3,0,0,100]",2023-06-13,"Instant answer, Knowledge panel, Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
bibliotheque levallois,40,40,390,30,0.00,https://www.cougnaud-construction.com/realisations/mediatheque-covivio/,0,0,0.00,0,200000,"[44,54,29,29,36,44,23,100,54,100,100,54]",2023-06-22,"Local pack, Image pack, Sitelinks, Image, Find results on, Indented, Related searches","commercial, navigational",Organic
ol academy inscription,35,35,40,9,0.52,https://www.cougnaud-construction.com/groupama-ol-academy/,0,0,0.00,0.21,60,"[14,28,42,57,100,42,42,57,42,42,100,57]",2023-06-24,"Knowledge panel, Image pack, People also ask, Indented, Related searches","navigational, transactional",Organic
batiment a energie positive,67,67,70,40,0.45,https://www.cougnaud-construction.com/bepos/,0,0,0.00,0.12,269000,"[42,19,15,7,34,42,19,26,42,26,26,26]",2023-06-13,"Knowledge panel, Sitelinks, Reviews, People also ask, Related searches",informational,Organic
brochard immobilier,25,25,390,12,0.00,https://www.cougnaud-construction.com/realisations/brochard-immobiler/,0,0,0.00,0,77,"[44,54,54,54,66,81,66,54,100,81,81,81]",2023-06-12,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
hoffmann bournezeau,24,24,70,39,0.00,https://www.cougnaud-construction.com/realisations/hoffmann-green-cement-technologies/,0,0,0.00,0,91,"[11,9,5,5,11,9,11,7,9,5,9,5]",2023-06-17,"Local pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",informational,Organic
fob cob,46,46,40,5,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,0,0,0.00,0,86,"[50,14,14,14,14,50,28,50,64,14,14,14]",2023-05-26,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
bâtiments scolaires,16,16,40,38,1.23,https://www.cougnaud-construction.com/scolaire/,0,0,0.00,0.03,16400000,"[1,0,0,0,1,1,1,5,1,1,4,5]",2023-06-24,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
groupama ol,75,75,90,40,0.00,https://www.cougnaud-construction.com/groupama-ol-academy/,0,0,0.00,0,2270000,"[78,78,78,78,78,78,50,35,64,35,50,35]",2023-06-14,"Local pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
location modulaire,33,33,70,30,3.35,https://www.cougnaud-construction.com/construction-modulaire/,0,0,0.00,0.41,2550000,"[10,10,22,10,8,10,6,14,22,22,29,22]",2023-06-01,"Local pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
collège ste marie aizenay,38,38,70,25,0.00,https://www.cougnaud-construction.com/realisations/college-aizenay/,0,0,0.00,0,81,"[100,100,64,50,100,64,78,28,21,21,28,14]",2023-06-06,"Knowledge panel, Sitelinks, Reviews, Indented, Related searches",navigational,Organic
mediatheque milly la foret,28,28,70,17,0.00,https://www.cougnaud-construction.com/realisations/maison-des-associations/,0,0,0.00,0,24800,"[1,6,6,6,5,6,5,3,6,5,6,6]",2023-06-10,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",navigational,Organic
actu clisson,30,30,320,28,0.00,https://www.cougnaud-construction.com/clisson-inaugure-nouveaux-vestiaires-installes-cougnaud-construction/,0,0,0.00,0,0,"[44,100,54,54,44,66,44,35,35,28,66,35]",2023-06-14,"Knowledge panel, Carousel, Top stories, Sitelinks, Reviews, Indented, Related searches",informational,Organic
collège de samatan,20,20,140,22,0.00,https://www.cougnaud-construction.com/realisations/extension-du-college-belleforest-de-samatan/,0,0,0.00,0,239000,"[100,80,100,19,9,80,52,66,52,80,42,80]",2023-06-01,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
f.o.b definition,52,52,40,16,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/fob/,0,0,0.00,0,5770000,"[81,81,27,0,63,45,81,9,9,18,9,18]",2023-06-07,"Knowledge panel, Reviews, People also ask, Indented, Related searches","informational, transactional",Organic
caampus,88,88,70,52,0.46,https://www.cougnaud-construction.com/realisations/cougnaud-campus/,0,0,0.00,0.03,1810000000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2023-06-23,"Local pack, Top stories, Sitelinks, Image, People also ask, Indented, See results about",informational,Organic
laboratoire blanc carcassonne,27,27,90,15,0.00,https://www.cougnaud-construction.com/realisations/laboratoire-medicale-carcasonne/,0,0,0.00,0,87,"[34,26,34,34,34,34,42,34,34,42,34,26]",2023-06-14,"Knowledge panel, Image pack, Indented, Related searches",navigational,Organic
softec formation professionnelle,18,18,50,27,0.91,https://www.cougnaud-construction.com/realisations/extension-softec/,0,0,0.00,0.2,97,"[14,14,14,14,78,78,100,64,50,14,14,14]",2023-06-22,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",navigational,Organic
centre de loisir la roche sur yon,87,87,70,9,0.00,https://www.cougnaud-construction.com/realisations/accueil-periscolaire-dompierre-sur-yon/,0,0,0.00,0,8270000,"[64,100,64,64,35,50,28,28,50,21,21,28]",2023-06-16,"Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
oxa architectures,33,33,70,23,0.00,https://www.cougnaud-construction.com/realisations/vestiaires-clisson/,0,0,0.00,0.03,90,"[28,28,28,12,28,5,5,28,28,5,5,5]",2023-06-08,"Local pack, Image pack, Sitelinks, Reviews, FAQ, Find results on","commercial, navigational",Organic
stefan plaza agence,47,47,70,34,0.37,https://www.cougnaud-construction.com/realisations/agence-immobiliere/,0,0,0.00,0.05,60,"[18,23,35,28,23,11,8,6,0,0,0,0]",2023-05-31,"Local pack, Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",navigational,Organic
maison medicale carcassonne,84,84,1300,24,1.09,https://www.cougnaud-construction.com/realisations/laboratoire-medicale-carcasonne/,0,0,0.00,0.01,736000,"[52,52,68,68,46,100,52,84,68,52,52,52]",2023-06-19,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
matériaux recyclés construction,80,80,90,25,0.44,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/recyclage-des-batiments/,0,0,0.00,0.14,1250000,"[52,23,14,19,33,23,66,23,52,80,100,42]",2023-06-14,"Local pack, Sitelinks, Featured snippet, Related searches",informational,Organic
dimension bungalow algeco,57,57,40,9,0.59,https://www.cougnaud-construction.com/,0,0,0.00,0.4,84,"[18,36,18,18,18,36,36,18,27,36,81,100]",2023-06-10,"Image pack, Reviews, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
collège saint-exupéry paris,33,33,170,21,0.00,https://www.cougnaud-construction.com/realisations/college-saint-exupery/,0,0,0.00,0.01,566000,"[80,80,80,53,100,65,65,65,65,65,65,65]",2023-06-20,"Local pack, Image pack, Reviews, People also ask, Find results on, Related searches",commercial,Organic
mairie derval,86,86,480,26,0.00,https://www.cougnaud-construction.com/realisations/ecole-maternelle-derval/,0,0,0.00,0,153000,"[67,54,44,44,67,67,81,54,100,54,67,54]",2023-06-15,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Indented, Related searches",navigational,Organic
chantier saint nazaire,63,63,720,21,0.00,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-stx/,0,0,0.00,0,2730000,"[72,88,88,100,88,72,59,100,59,32,26,39]",2023-06-20,"Local pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Find results on, Indented, Related searches",commercial,Organic
centre entrainement paris fc,5,5,40,20,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,0,0,0.00,0,1050000,"[100,18,18,18,18,18,18,18,18,36,81,18]",2023-06-16,"Reviews, Image, People also ask, Indented, Related searches","informational, transactional",Organic
hopital gustave roussy villejuif,19,19,170,30,0.81,https://www.cougnaud-construction.com/realisations/laboratoire-institut-gustave-roussy/,0,0,0.00,0.01,39800,"[42,53,65,53,53,65,65,100,100,65,100,42]",2023-05-29,"Knowledge panel, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",navigational,Organic
groupe atlantic meyzieu,43,43,170,25,0.07,https://www.cougnaud-construction.com/realisations/bureaux-atlantic/,0,0,0.00,0.02,66,"[53,65,53,34,80,100,65,53,53,80,80,80]",2023-06-22,"Knowledge panel, Image pack, Sitelinks, Reviews, Related searches",informational,Organic
paris football club,40,40,1600,65,1.74,https://www.cougnaud-construction.com/realisations/centre-de-formation/,0,0,0.00,0,242000000,"[20,10,10,44,80,44,44,52,36,66,100,44]",2023-06-20,"Knowledge panel, Sitelinks, Reviews, Video Carousel, People also ask, Twitter carousel, Related searches","informational, navigational",Organic
maison de la presse saint leu d'esserent,73,73,140,12,0.00,https://www.cougnaud-construction.com/realisations/vestiaires-sportifs-saint-leu-desserent/,0,0,0.00,0,88,"[80,80,80,53,34,26,42,100,34,34,42,34]",2023-06-08,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
magasin d usine vendée,50,50,70,31,0.00,https://www.cougnaud-construction.com/realisations/espace-commercial/,0,0,0.00,0.01,224000,"[33,42,52,66,80,42,23,0,0,0,0,0]",2023-06-03,"Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
centre hospitalier la ferté bernard,75,75,210,24,0.00,https://www.cougnaud-construction.com/realisations/locaux-medicaux-centre-hospitalier-la-ferte-bernard/,0,0,0.00,0,85,"[53,81,100,81,53,65,65,81,53,81,53,65]",2023-06-01,"Local pack, Image pack, Sitelinks, Reviews, FAQ, Find results on, Indented, Related searches","commercial, navigational",Organic
stéphane plaza agence,45,45,110,36,0.45,https://www.cougnaud-construction.com/realisations/agence-immobiliere/,0,0,0.00,0.07,59,"[6,34,53,6,28,21,9,34,53,53,65,43]",2023-06-24,"Local pack, Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",navigational,Organic
chantiers naval saint nazaire,67,67,170,25,0.00,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-stx/,0,0,0.00,0,357000,"[53,43,81,100,53,53,3,53,53,43,34,34]",2023-06-16,"Local pack, Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches",commercial,Organic
ecole du marais danse,54,54,40,20,0.00,https://www.cougnaud-construction.com/realisations/salle-de-danse-saint-gilles/,0,0,0.00,0.04,1930000,"[11,29,100,11,11,11,11,11,11,11,11,11]",2023-06-05,"Local pack, Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Find results on, Indented, Related searches",commercial,Organic
médiathèque de levallois,39,39,210,30,0.00,https://www.cougnaud-construction.com/realisations/mediatheque-covivio/,0,0,0.00,0,99,"[80,80,100,65,65,80,65,65,65,65,65,65]",2023-06-03,"Local pack, Image pack, Sitelinks, Image, Video Carousel, Find results on, Indented, Related searches","commercial, navigational",Organic
gustave roussy villejuif,14,14,880,34,12.55,https://www.cougnaud-construction.com/realisations/laboratoire-institut-gustave-roussy/,0,0,0.00,0.01,1060000,"[88,88,72,72,88,88,88,88,100,100,100,88]",2023-06-19,"Knowledge panel, Sitelinks, Reviews, Image, Video Carousel, People also ask, Twitter carousel, Indented, Related searches",navigational,Organic
centre hospitalier laborit,44,44,50,29,0.00,https://www.cougnaud-construction.com/realisations/etablissement-de-sante-poitiers/,0,0,0.00,0,98,"[78,14,14,14,14,78,100,14,78,14,14,14]",2023-06-19,"Local pack, Image pack, Sitelinks, Reviews, Image, FAQ, Find results on, Indented, Related searches","commercial, navigational",Organic
bois metal,43,43,140,34,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/,0,0,0.00,0.8,54100000,"[80,53,53,42,80,80,65,53,53,53,42,42]",2023-06-07,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
nouveau centre médical orly,63,63,90,25,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,0,0,0.00,0.01,82,"[42,42,52,42,33,42,33,42,66,42,52,52]",2023-05-29,"Local pack, Image pack, Reviews, Find results on, Indented, Related searches",commercial,Organic
salle des fetes bron,68,69,50,20,0.42,https://www.cougnaud-construction.com/realisations/salle-polyvalente-villy-en-trodes/,0,0,0.00,0.08,99,"[18,27,18,18,100,100,100,100,45,27,18,18]",2023-06-25,"Knowledge panel, Sitelinks, Image, Indented, Related searches",commercial,Organic
centre d'entraînement,63,63,140,30,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,0,0,0.00,0.01,23500000,"[0,0,0,0,100,35,82,66,66,5,12,7]",2023-06-03,"Local pack, Image pack, Sitelinks, Image, People also ask, Find results on, Related searches",commercial,Organic
senat paris,34,34,3600,39,0.00,https://www.cougnaud-construction.com/realisations/le-senat/,0,0,0.00,0,94,"[66,81,44,35,81,81,66,44,66,66,81,35]",2023-06-24,"Knowledge panel, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",navigational,Organic
leanco,69,69,210,23,0.00,https://www.cougnaud-construction.com/accelerons-palmares-du-concours/,0,0,0.00,0,93200,"[81,81,53,28,81,100,53,53,100,65,81,43]",2023-06-20,"Knowledge panel, Sitelinks, Reviews, FAQ, Indented, Related searches",navigational,Organic
bio 11,66,66,140,24,0.00,https://www.cougnaud-construction.com/realisations/laboratoire-medicale-carcasonne/,0,0,0.00,0.09,3530000000,"[36,44,44,29,9,15,9,6,12,6,12,9]",2023-06-15,"Knowledge panel, Image pack, Reviews, Indented, Related searches",informational,Organic
laboratoire bio 11 carcassonne,22,22,40,22,0.00,https://www.cougnaud-construction.com/realisations/laboratoire-medicale-carcasonne/,0,0,0.00,0,95,"[29,29,29,11,11,11,64,11,11,11,11,23]",2023-06-22,"Knowledge panel, Image pack, Indented","navigational, transactional",Organic
contreventer ossature bois,82,82,110,9,0.50,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/fob/,0,0,0.00,0.28,78200,"[3,1,66,28,54,0,0,0,0,54,0,0]",2023-06-20,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
saint exupery vincennes,15,15,170,30,0.00,https://www.cougnaud-construction.com/realisations/college-saint-exupery/,0,0,0.00,0,225000,"[35,43,17,53,100,66,43,28,43,35,28,35]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Image, Indented, Related searches",navigational,Organic
college victor duruy fontenay sous bois,67,67,170,25,0.00,https://www.cougnaud-construction.com/realisations/salles-de-classe/,0,0,0.00,0,86,"[0,0,0,0,0,0,100,0,0,0,1,0]",2023-06-03,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Indented, Related searches",navigational,Organic
construction modulaire definition,60,60,40,26,0.56,https://www.cougnaud-construction.com/construction-modulaire/construction-industrialisee/,0,0,0.00,0.08,556000,"[50,14,14,14,28,14,100,14,14,14,14,14]",2023-06-05,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
coupe de charcot,67,67,170,19,0.00,https://www.cougnaud-construction.com/realisations/centre-hospitalier-charcot/,0,0,0.00,0,828000,"[66,18,10,10,29,54,54,43,43,29,35,43]",2023-06-22,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
poujoulat recrutement,26,26,110,21,0.00,https://www.cougnaud-construction.com/realisations/cheminees-poujoulat/,0,0,0.00,0.02,92,"[64,100,50,64,50,78,78,100,50,78,78,100]",2023-06-02,"Image pack, Sitelinks, Reviews, Jobs search, Indented, Related searches",navigational,Organic
pascal chazal,99,99,40,22,0.00,https://www.cougnaud-construction.com/magazine-hors-site/,0,0,0.00,0,716000,"[18,0,9,0,0,9,100,100,18,100,100,18]",2023-06-01,"Knowledge panel, Video Carousel, Indented, Related searches","informational, transactional",Organic
hopital la ferte bernard,69,69,1000,27,0.00,https://www.cougnaud-construction.com/realisations/locaux-medicaux-centre-hospitalier-la-ferte-bernard/,0,0,0.00,0,91,"[62,62,55,45,81,81,62,62,100,55,62,45]",2023-06-24,"Local pack, Sitelinks, Reviews, FAQ, Find results on, Indented, Related searches","commercial, navigational",Organic
cmp montpon,47,47,110,15,0.00,https://www.cougnaud-construction.com/realisations/maison-de-sante-isle-double-landais/,0,0,0.00,0,81,"[64,100,78,100,100,78,64,64,64,64,78,50]",2023-06-15,"Local pack, Image pack, Reviews, People also ask, Find results on, Indented",commercial,Organic
constructipn,69,69,50,61,0.79,https://www.cougnaud-construction.com/,0,0,0.00,0.02,4280000000,"[0,0,0,0,0,0,8,3,0,0,3,100]",2023-06-19,"Instant answer, Local pack, Top stories, Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches, See results about",navigational,Organic
au feu de bois blanc mesnil,67,67,110,26,0.56,https://www.cougnaud-construction.com/realisations/restaurant-scolaire-le-blanc-mesnil/,0,0,0.00,0.08,1320000,"[19,52,80,80,52,66,66,33,52,52,66,66]",2023-06-01,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Indented, Related searches","informational, transactional",Organic
razel,81,81,590,30,0.37,https://www.cougnaud-construction.com/realisations/batiment-administratif-razelbec/,0,0,0.00,0.01,3450000,"[81,81,81,54,81,81,81,81,54,100,81,81]",2023-06-18,"Knowledge panel, Sitelinks, Reviews, Image, FAQ, Indented, Address pack, Related searches","informational, navigational",Organic
normes constructions,56,56,70,20,0.00,https://www.cougnaud-construction.com/a-propos/normes/,0,0,0.00,0.01,55000000,"[63,63,36,36,45,63,63,81,81,63,100,81]",2023-06-14,"Reviews, Featured snippet, People also ask, Related searches",informational,Organic
accueil funéraire 85,78,78,40,20,1.64,https://www.cougnaud-construction.com/realisations/salon-funeraire-beauvoir-sur-mer/,0,0,0.00,0.05,578000,"[0,28,0,0,14,50,64,50,50,14,14,14]",2023-06-08,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches","commercial, navigational",Organic
ossature en bois,36,36,170,29,0.54,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/,0,0,0.00,0.73,11700000,"[100,80,80,53,80,53,53,80,65,53,53,42]",2023-06-18,"Local pack, Image pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
edf vaires sur marne,48,48,70,19,4.29,https://www.cougnaud-construction.com/realisations/bureaux-administratrifs-edf-vaires/,0,0,0.00,0.02,123000,"[2,2,2,2,11,11,5,4,3,11,9,11]",2023-06-06,"Knowledge panel, Sitelinks, Reviews, Image, Indented, Related searches","informational, transactional",Organic
razel bec fayat,66,66,140,28,0.00,https://www.cougnaud-construction.com/realisations/batiment-administratif-2/,0,0,0.00,0,83,"[64,82,64,41,82,82,100,64,100,82,82,64]",2023-06-19,"Knowledge panel, Local pack, Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches","commercial, navigational",Organic
ecole joséphine baker nantes,22,22,40,11,0.00,https://www.cougnaud-construction.com/realisations/groupe-scolaire-baker/,0,0,0.00,0,81,"[18,100,18,18,100,18,18,18,18,18,18,18]",2023-06-12,"Knowledge panel, Reviews, Image, Indented, Related searches",navigational,Organic
chantier navals saint nazaire,73,73,50,24,0.20,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-stx/,0,0,0.00,0.01,448000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2023-06-11,"Local pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches",commercial,Organic
boulangerie champforgeuil,21,21,140,11,0.00,https://www.cougnaud-construction.com/realisations/boulangerie-patisserie/,0,0,0.00,0,74,"[80,66,80,80,100,52,52,52,66,52,80,52]",2023-06-01,"Knowledge panel, Image pack, Reviews, Image, Related searches",informational,Organic
musee 91,58,58,90,13,0.00,https://www.cougnaud-construction.com/realisations/musee-francais-de-la-photographie/,0,0,0.00,0,0,"[12,9,6,9,9,9,15,9,12,15,15,15]",2023-06-17,"Carousel, Reviews, People also ask, Indented, Related searches",commercial,Organic
vestiaire de football,67,67,70,9,0.87,https://www.cougnaud-construction.com/realisations/vestiaires-sportifs/,0,0,0.00,0.97,7420000,"[29,29,64,64,82,23,17,29,29,23,23,23]",2023-06-04,"Image pack, Video Carousel, Indented, Related searches, See results about",informational,Organic
restaurant daux,31,31,210,25,0.15,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-3r/,0,0,0.00,0.02,73,"[65,81,65,100,65,43,81,34,34,53,65,53]",2023-05-29,"Local pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
saint guil,93,93,50,34,0.50,https://www.cougnaud-construction.com/realisations/locaux-medicaux-saint-guilhem/,0,0,0.00,0.01,1930000,"[53,100,0,0,3,0,11,0,19,7,7,34]",2023-06-20,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
mairie le cateau,91,91,320,24,0.00,https://www.cougnaud-construction.com/realisations/salle-jules-meriaux/,0,0,0.00,0,267000,"[81,66,66,81,100,81,54,43,100,54,66,81]",2023-06-24,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches","commercial, navigational",Organic
métal bois,58,58,40,17,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/,0,0,0.00,0.44,88300000,"[35,78,0,0,64,100,0,64,0,0,0,0]",2023-06-07,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
chantier naval saint nazaire,60,60,2900,19,0.20,https://www.cougnaud-construction.com/realisations/restauration-dentreprise-stx/,0,0,0.00,0.01,260000,"[54,54,66,100,43,43,28,24,24,15,24,36]",2023-06-24,"Local pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches",commercial,Organic
urbest,77,77,590,37,0.00,https://www.cougnaud-construction.com/salon-urbest-2019/,0,0,0.00,0,360000,"[30,30,20,13,45,36,30,30,45,36,62,45]",2023-06-22,"Knowledge panel, Sitelinks, Reviews, Indented","navigational, transactional",Organic
